# FIELD ID RA DEC
HYDRA-0153 iDR3.HYDRA-0153.100847 153.09911030673175 -45.79633374628409
HYDRA-0153 iDR3.HYDRA-0153.126833 153.39175770122844 -45.561019931711364
HYDRA-0153 iDR3.HYDRA-0153.133030 153.68040968704057 -45.503045032960685
HYDRA-0154 iDR3.HYDRA-0154.010153 154.16018979002806 -46.56155111721521
HYDRA-0154 iDR3.HYDRA-0154.028905 155.4200731904796 -46.44628333996957
HYDRA-0154 iDR3.HYDRA-0154.098726 154.57486864649061 -45.92506665040029
HYDRA-0154 iDR3.HYDRA-0154.101682 154.89421584930008 -45.9001179787461
HYDRA-0154 iDR3.HYDRA-0154.160520 154.4803694152877 -45.378510023552614
HYDRA-0155 iDR3.HYDRA-0155.015506 157.12689732121262 -46.492003229163615
HYDRA-0155 iDR3.HYDRA-0155.030850 156.40450936105194 -46.348862820110256
HYDRA-0155 iDR3.HYDRA-0155.131289 157.18493107238663 -45.36155174346195
HYDRA-0155 iDR3.HYDRA-0155.135717 157.71265172602747 -45.21174840845759
HYDRA-0155 iDR3.HYDRA-0155.138437 156.34939965443613 -45.311350358855535
HYDRA-0156 iDR3.HYDRA-0156.039070 159.1499973937238 -46.23028875662482
HYDRA-0156 iDR3.HYDRA-0156.071669 159.3649582127337 -45.8698610052873
HYDRA-0156 iDR3.HYDRA-0156.101443 157.89922944701078 -45.521825277289
HYDRA-0156 iDR3.HYDRA-0156.117774 158.32974470232512 -45.221591879143546
HYDRA-0157 iDR3.HYDRA-0157.083346 161.4805438908033 -45.8975291997291
HYDRA-0158 iDR3.HYDRA-0158.051495 163.786279173185 -46.21563782722485
HYDRA-0158 iDR3.HYDRA-0158.105589 161.95289391683937 -45.78287499294493
HYDRA-0159 iDR3.HYDRA-0159.078935 164.40737635562635 -45.90586091811566
HYDRA-0161 iDR3.HYDRA-0161.031304 152.1349776235732 -47.78631844075834
HYDRA-0161 iDR3.HYDRA-0161.046112 153.01743754652935 -47.686329182349304
HYDRA-0161 iDR3.HYDRA-0161.169002 151.26840560986147 -46.80247821776075
HYDRA-0161 iDR3.HYDRA-0161.193825 151.27309923594544 -46.574732347312136
HYDRA-0162 iDR3.HYDRA-0162.021088 153.93845736401553 -47.81762328596814
HYDRA-0162 iDR3.HYDRA-0162.043307 153.51018014191717 -47.644985920143114
HYDRA-0162 iDR3.HYDRA-0162.093670 154.323916076182 -47.27228301610361
HYDRA-0162 iDR3.HYDRA-0162.114323 154.43120282967385 -47.117568437955434
HYDRA-0162 iDR3.HYDRA-0162.116977 154.44546039910682 -47.0979459426671
HYDRA-0162 iDR3.HYDRA-0162.117486 154.4467426851508 -47.0941686380605
HYDRA-0162 iDR3.HYDRA-0162.131938 154.52354230365188 -46.9840579900413
HYDRA-0162 iDR3.HYDRA-0162.153464 154.63834596657432 -46.81627706130489
HYDRA-0162 iDR3.HYDRA-0162.160749 154.67655108166164 -46.760898186572966
HYDRA-0162 iDR3.HYDRA-0162.174506 154.7588916556332 -46.639890550100596
HYDRA-0162 iDR3.HYDRA-0162.186494 154.79669058518198 -46.585017258887206
HYDRA-0163 iDR3.HYDRA-0163.024487 156.1729145050098 -47.81804977413991
HYDRA-0163 iDR3.HYDRA-0163.084857 156.40205954556623 -47.38435766300764
HYDRA-0163 iDR3.HYDRA-0163.145980 156.9408510734874 -46.91259279016511
HYDRA-0163 iDR3.HYDRA-0163.180757 156.75002919550641 -46.57137109392004
HYDRA-0165 iDR3.HYDRA-0165.099485 160.3482705534804 -47.21664126344146
